Feature_ID	Female_108 - Total gene reads	Male_108 - Total gene reads
TR393|c0_g1_i1	16	20
TR394|c0_g1_i1	2	10
TR394|c0_g2_i1	9	18
TR394|c0_g3_i1	0	0
TR395|c0_g1_i1	18	29
TR395|c0_g2_i1	0	0
TR396|c0_g1_i1	32	35
TR397|c0_g1_i1	12	0
TR397|c0_g2_i1	7	10
TR398|c0_g1_i1	1	6
TR399|c0_g1_i1	405	360
TR400|c0_g1_i1	9	3
TR400|c0_g1_i2	18	52
TR401|c0_g1_i1	33	28
TR402|c0_g1_i1	12	23
TR403|c0_g1_i1	7	9
TR403|c0_g2_i1	0	0
TR404|c0_g1_i1	10	7
TR405|c0_g1_i1	31	31
TR406|c0_g1_i1	26	14
TR406|c0_g2_i1	8	54
TR407|c0_g1_i1	19	19
TR408|c0_g1_i1	5	16
TR409|c0_g1_i1	36	56
TR410|c0_g1_i1	4	0
TR410|c0_g2_i1	5	8
TR411|c0_g1_i1	11	9
TR412|c0_g1_i1	22	31
TR413|c0_g1_i1	10	6
TR414|c0_g1_i1	2	8
TR415|c0_g1_i1	1	8
TR416|c0_g1_i1	3	0
TR416|c0_g2_i1	7	16
TR417|c0_g1_i1	5	9
TR418|c0_g1_i1	2	22
TR419|c0_g1_i1	0	16
TR419|c0_g2_i1	1	0
TR420|c0_g1_i1	0	0
TR421|c0_g1_i1	0	1
TR421|c0_g2_i1	1	6
TR422|c0_g1_i1	9	2
TR423|c0_g1_i1	17	17
TR424|c0_g1_i1	21	13
TR425|c0_g1_i1	2	4
TR425|c0_g2_i1	10	0
TR426|c0_g1_i1	6	4
TR427|c0_g1_i1	7	10
TR428|c0_g1_i1	3	7
TR429|c0_g1_i1	11	17
TR429|c0_g2_i1	0	0
TR430|c0_g1_i1	19	28
TR431|c0_g1_i1	3	5
TR432|c0_g1_i1	10	7
TR433|c0_g1_i1	38	64
TR434|c0_g1_i1	5	5
TR435|c0_g1_i1	1138	3439
TR436|c0_g1_i1	42	51
TR437|c0_g1_i1	19	3
TR438|c0_g1_i1	5	16
TR439|c0_g1_i1	62	78
TR440|c0_g1_i1	73	79
TR440|c0_g2_i1	4	1
TR441|c0_g1_i1	0	0
TR441|c0_g2_i1	4	0
TR442|c0_g1_i1	9	9
TR443|c0_g1_i1	15	9
TR444|c0_g1_i1	5	6
TR445|c0_g1_i1	3	3
TR445|c0_g2_i1	0	2
TR446|c0_g1_i1	15	13
TR447|c0_g1_i1	27	14
TR447|c0_g2_i1	0	0
TR448|c0_g1_i1	10	6
TR449|c0_g1_i1	295	277
TR450|c0_g1_i1	0	12
TR450|c0_g1_i2	3	0
TR451|c0_g1_i1	4	19
TR452|c0_g1_i1	0	2
TR452|c0_g2_i1	33	44
TR453|c0_g1_i1	0	30
TR454|c0_g1_i1	42	25
TR455|c0_g1_i1	62	94
TR456|c0_g1_i1	9	24
TR457|c0_g1_i1	6	2
TR458|c0_g1_i1	4	6
TR459|c0_g1_i1	16	91
TR459|c0_g2_i1	14	33
TR460|c0_g1_i1	14	21
TR461|c0_g1_i1	9	7
TR462|c0_g1_i1	9	18
TR463|c0_g1_i1	20	13
TR464|c0_g1_i1	14	9
TR465|c0_g1_i1	305	226
TR466|c0_g1_i1	14	11
TR467|c0_g1_i1	6	7
TR468|c0_g1_i1	12	28
TR469|c0_g1_i1	59	115
TR470|c0_g1_i1	13	37
TR471|c0_g1_i1	4	3
TR471|c0_g2_i1	0	0
TR472|c0_g1_i1	102	115
TR473|c0_g1_i1	4	13
TR474|c0_g1_i1	10	19
TR475|c0_g1_i1	33	23
TR476|c0_g1_i1	5	5
TR477|c0_g1_i1	4	2
TR478|c0_g1_i1	4	5
TR478|c0_g2_i1	0	4
TR479|c0_g1_i1	4	8
TR480|c0_g1_i1	40	26
TR481|c0_g1_i1	86	188
TR482|c0_g1_i1	525	640
TR483|c0_g1_i1	10	13
TR484|c0_g1_i1	2	1
TR485|c0_g1_i1	14	10
TR485|c0_g2_i1	3	8
TR486|c0_g1_i1	20	13
TR486|c0_g2_i1	0	11
TR487|c0_g1_i1	1	5
TR488|c0_g1_i1	4	13
TR489|c0_g1_i1	1	23
TR490|c0_g1_i1	3	0
TR491|c0_g1_i1	3	0
TR491|c0_g2_i1	2	10
TR492|c0_g1_i1	23	28
TR493|c0_g1_i1	21	22
TR493|c0_g2_i1	5	9
TR494|c0_g1_i1	4	9
TR495|c0_g1_i1	29	10
TR495|c0_g2_i1	0	40
TR496|c0_g1_i1	5	4
TR497|c0_g1_i1	12	11
TR498|c0_g1_i1	28	53
TR499|c0_g1_i1	0	4
TR499|c0_g2_i1	3	0
TR500|c0_g1_i1	11	0
TR501|c0_g1_i1	6	10
TR501|c0_g2_i1	6	0
TR502|c0_g1_i1	6	8
